Date,Open,High,Low,Close,Adj Close,Volume
2024-04-30,63839.41796875,65494.90234375,56555.29296875,63161.94921875,63161.94921875,219779028429
2024-05-07,63162.76171875,64390.45703125,60208.78125,62901.44921875,62901.44921875,160809109611
2024-05-14,62900.7734375,71483.5625,61123.765625,71448.1953125,71448.1953125,207417823566
2024-05-21,71443.0625,71946.4609375,66356.953125,69394.5546875,69394.5546875,207800053034
2024-05-28,69392.1953125,70230.8203125,66633.421875,68804.78125,68804.78125,177479704517
2024-06-04,68804.5703125,71907.8515625,68507.2578125,69512.28125,69512.28125,175765914959
2024-06-11,69508.078125,69977.890625,65056.89453125,66490.296875,66490.296875,185381926557
2024-06-18,66490.9765625,66556.703125,58601.69921875,60277.4140625,60277.4140625,176594794563
2024-06-25,60266.28125,63777.2265625,59985.40234375,62851.98046875,62851.98046875,153346339643
2024-07-02,62844.41015625,63203.359375,53717.375,56705.09765625,56705.09765625,227405311921
2024-07-09,56704.59765625,64870.15234375,56316.875,64870.15234375,64870.15234375,185735386162
2024-07-16,64784.41796875,68480.0625,62487.96875,67585.25,67585.25,226716459533
2024-07-23,67584.8046875,69987.5390625,63473.47265625,66819.9140625,66819.9140625,225396758167
2024-07-30,66819.0546875,66987.671875,49121.23828125,53991.45703125,53991.45703125,319212741716
2024-08-06,53991.34765625,62673.765625,53973.2734375,59354.515625,59354.515625,245246286883
